iter	Passed	Remaining
0	63	12570
1	135	13453
2	204	13417
3	270	13247
4	327	12779
5	379	12273
6	439	12128
7	511	12278
8	567	12045
9	627	11921
10	678	11656
11	729	11423
12	773	11123
13	819	10884
14	864	10657
15	910	10470
16	960	10343
17	1015	10266
18	1075	10247
19	1130	10173
20	1177	10033
21	1210	9795
22	1253	9645
23	1305	9571
24	1358	9509
25	1402	9383
26	1450	9291
27	1498	9202
28	1561	9207
29	1628	9230
30	1687	9197
31	1756	9221
32	1833	9276
33	1912	9339
34	1974	9306
35	2053	9353
36	2119	9338
37	2181	9301
38	2241	9253
39	2308	9235
40	2371	9197
41	2431	9145
42	2492	9101
43	2553	9051
44	2617	9014
45	2681	8977
46	2734	8902
47	2804	8881
48	2858	8809
49	2924	8772
50	2988	8730
51	3057	8702
52	3131	8685
53	3198	8647
54	3269	8618
55	3338	8583
56	3414	8565
57	3484	8530
58	3548	8480
59	3616	8438
60	3687	8402
61	3750	8347
62	3820	8307
63	3887	8261
64	3956	8217
65	4022	8167
66	4085	8109
67	4156	8068
68	4223	8018
69	4269	7928
70	4323	7855
71	4389	7803
72	4445	7734
73	4506	7672
74	4569	7615
75	4634	7561
76	4701	7510
77	4763	7449
78	4827	7394
79	4898	7348
80	4967	7297
81	5037	7248
82	5119	7215
83	5206	7190
84	5278	7141
85	5326	7060
86	5398	7012
87	5475	6968
88	5545	6915
89	5611	6858
90	5677	6799
91	5752	6753
92	5816	6691
93	5882	6633
94	5953	6579
95	6023	6524
96	6087	6464
97	6149	6400
98	6226	6352
99	6285	6285
100	6332	6206
101	6388	6138
102	6450	6074
103	6538	6035
104	6580	5953
105	6632	5881
106	6694	5818
107	6756	5755
108	6822	5695
109	6886	5634
110	6945	5568
111	7017	5514
112	7093	5461
113	7162	5403
114	7227	5341
115	7295	5283
116	7362	5223
117	7425	5160
118	7495	5102
119	7570	5046
120	7636	4986
121	7699	4922
122	7763	4859
123	7830	4799
124	7897	4738
125	7959	4674
126	8025	4613
127	8092	4551
128	8155	4488
129	8204	4417
130	8269	4355
131	8346	4299
132	8415	4239
133	8481	4177
134	8537	4110
135	8604	4049
136	8668	3986
137	8731	3922
138	8791	3858
139	8862	3798
140	8929	3736
141	8996	3674
142	9059	3610
143	9127	3549
144	9187	3485
145	9250	3421
146	9315	3358
147	9375	3294
148	9428	3227
149	9497	3165
150	9564	3103
151	9636	3043
152	9698	2979
153	9764	2916
154	9834	2855
155	9909	2794
156	9973	2731
157	10039	2668
158	10100	2604
159	10168	2542
160	10232	2478
161	10293	2414
162	10352	2349
163	10419	2287
164	10482	2223
165	10528	2156
166	10598	2094
167	10670	2032
168	10737	1969
169	10803	1906
170	10864	1842
171	10934	1780
172	11003	1717
173	11070	1654
174	11135	1590
175	11197	1526
176	11264	1463
177	11334	1400
178	11407	1338
179	11466	1274
180	11507	1207
181	11568	1144
182	11630	1080
183	11689	1016
184	11754	953
185	11816	889
186	11879	825
187	11947	762
188	12017	699
189	12076	635
190	12137	571
191	12205	508
192	12254	444
193	12312	380
194	12380	317
195	12452	254
196	12520	190
197	12585	127
198	12645	63
199	12710	0
